date	total_ridership	alert_count	affected_riders
2022-02-01	1915331	130	777753
2022-02-02	2181677	104	705739
2022-02-03	2182111	124	752618
2022-02-04	2033978	133	886354
2022-02-05	1183464	92	326723
2022-02-06	887391	95	295317
2022-02-07	2109201	114	738320
2022-02-08	2274363	123	867061
2022-02-09	3111753	129	1144395
2022-02-10	3139020	102	1042311
2022-02-11	3052103	104	870664
2022-02-12	2049961	102	599262
2022-02-13	1361242	98	376500
2022-02-14	2929633	117	1022493
2022-02-15	3053304	79	742438
2022-02-16	3126021	117	1072906
2022-02-17	3136701	106	779653
2022-02-18	3001852	109	1101907
2022-02-19	1816782	108	699650
2022-02-20	1491608	106	511920
2022-02-21	1964259	81	691108
2022-02-22	2705429	124	1146770
2022-02-23	2725464	125	1025981
2022-02-24	2895977	111	1024269
2022-02-25	2622205	137	1097057
2022-02-26	1855373	100	647452
2022-02-27	1416181	102	465648
2022-02-28	2947168	88	890256
2022-03-01	3173586	125	1249910
2022-03-02	3245340	129	1140933
2022-03-03	3245573	117	1206090
2022-03-04	3126307	87	799453
2022-03-05	1985108	93	444765
2022-03-06	1461536	110	534896
2022-03-07	3013650	113	953605
2022-03-08	3284766	143	1339449
2022-03-09	3150616	116	1389173
2022-03-10	3379373	137	1289152
2022-03-11	3246458	137	1108348
2022-03-12	1688902	121	607853
2022-03-13	1492299	139	979999
2022-03-14	3042614	96	1067179
2022-03-15	3314279	06	1106067
2022-03-16	3371399	76	923750
2022-03-17	3218090	112	1327978
2022-03-18	3329025	97	943387
2022-03-19	2032309	67	527376
2022-03-20	1668479	93	560434
2022-03-21	3066954	113	1085188
2022-03-22	3312567	97	1028062
2022-03-23	3311578	93	1011200
2022-03-24	3256739	106	1163697
2022-03-25	3276156	114	1221180
2022-03-26	2054085	77	580863
2022-03-27	1546362	111	650784
2022-03-28	3024273	131	1223141
2022-03-30	3380286	76	997879
2022-03-31	3370779	106	1097408
2022-04-01	3296329	110	778012
2022-04-02	2164355	81	749260
2022-04-03	1479714	78	498566
2022-04-04	3167307	109	1080270
2022-04-05	3398466	105	1062988
2022-04-06	3355535	91	1206345
2022-04-07	3350863	70	799372
2022-04-08	3407915	117	1271607
2022-04-09	2222402	93	627657
2022-04-10	1719794	76	362171
2022-04-11	3244280	146	1252688
2022-04-12	3122612	122	1481520
2022-04-13	3267186	117	1346533
2022-04-14	3345462	105	1380599
2022-04-15	2815312	104	982703
2022-04-16	2011905	102	563562
2022-04-17	1525218	81	422482
2022-04-18	2711657	91	760783
2022-04-19	3004764	86	796850
2022-04-20	3144432	98	1036590
2022-04-21	3081428	81	638967
2022-04-22	3040383	95	1107886
2022-04-23	2139985	92	673542
2022-04-24	1666672	66	301809
2022-04-25	3059003	118	999162
2022-04-26	3318048	99	1294970
2022-04-27	3470080	75	865982
2022-04-28	3446872	116	1337707
2022-04-29	3308610	92	1163616
2022-04-30	2137716	94	808086
2022-05-01	1695897	77	532284
2022-05-02	2766879	106	852622
2022-05-03	3443220	115	1031403
2022-05-04	3404901	98	1060899
2022-05-05	3548347	85	746502
2022-05-06	3240841	125	1103180
2022-05-07	1869641	79	505817
2022-05-08	1594734	78	415125
2022-05-09	3148761	96	979851
2022-05-10	3450962	74	800955
2022-05-11	3480387	68	629081
2022-05-12	3474227	75	716670
2022-05-13	3305573	102	884941
2022-05-14	2179247	74	628038
2022-05-15	1773154	80	583345
2022-05-16	3112941	130	1266498
2022-05-17	3575725	105	1012272
2022-05-18	3647398	114	1190206
2022-05-19	3516898	96	1054134
2022-05-20	3377826	78	811360
2022-05-21	2398768	06	831616
2022-05-22	1773057	106	639309
2022-05-23	3147857	89	958143
2022-05-24	3417744	124	1097850
2022-05-25	3467403	92	849742
2022-05-26	3385586	71	926363
2022-05-27	3079210	98	879862
2022-05-28	1900499	95	513062
2022-05-30	1720244	63	421404
2022-05-31	3215244	119	1122420
2022-06-01	3421240	122	1286788
2022-06-02	3397681	120	1404347
2022-06-03	3340433	86	905117
2022-06-04	2212947	63	553436
2022-06-05	1737059	92	513578
2022-06-06	3129339	137	1576809
2022-06-07	3433068	103	1104700
2022-06-08	3537733	117	1307477
